area,topic,servicename,foruser,deptname,promiseday,ckcs,wscs,starprorepty
厦门市,设立变更,成品油零售经营批准证书的变更,企业,厦门市经济和信息化局,5个工作日,0.0,1.0,4
厦门市,设立变更,聘雇台、港、澳人员备案手续（或合同续签）,"企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,0个工作日,1.0,1.0,4
厦门市,设立变更,职业技能鉴定机构设立审批-变更,"企业,事业单位,社团组织",厦门市人力资源和社会保障局,7个工作日,1.0,1.0,4
厦门市,设立变更,市级社会团体成立登记（含慈善组织成立登记）,"个人,企业,事业单位,社团组织,其他组织",厦门市民政局,7个工作日,1.0,1.0,3
厦门市,设立变更,设立宗教活动场所（固定处所）审批,社团组织,厦门市民族与宗教事务局,10个工作日,1.0,1.0,4
厦门市,设立变更,食品（食品添加剂）生产许可证注销,企业,厦门市市场监督管理局,7个工作日,1.0,1.0,4
厦门市,设立变更,成品油批发、仓储经营批准证书变更的审核转报,企业,厦门市经济和信息化局,5个工作日,0.0,1.0,4
厦门市,设立变更,药品零售连锁企业经营许可证核发的受理、审查、现场检查,企业,厦门市市场监督管理局（食药监）,30个工作日,2.0,2.0,3
厦门市,设立变更,公墓建设审批,"个人,企业,事业单位,行政机关,其他组织",厦门市民政局,6个工作日,1.0,1.0,4
厦门市,设立变更,外商投资企业设立审批,"个人,企业",厦门市商务局,7个工作日,2.0,2.0,3
厦门市,设立变更,食品（食品添加剂）生产许可证补办,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,设立变更,外商投资企业变更审批,企业,厦门市商务局,7个工作日,2.0,2.0,3
厦门市,设立变更,设立民办技工学校审批--学校举办者、校长变更审批,民办非企业单位,厦门市人力资源和社会保障局,0个工作日,0.0,0.0,4
厦门市,设立变更,设立民办技工学校审批--学校分立、合并审批,民办非企业单位,厦门市人力资源和社会保障局,10个工作日,0.0,0.0,4
厦门市,设立变更,设立民办技工学校审批--学校期限期限延续审批,民办非企业单位,厦门市人力资源和社会保障局,0个工作日,0.0,0.0,4
厦门市,设立变更,设立民办技工学校审批--学校名称、类别、地址变更审批,民办非企业单位,厦门市人力资源和社会保障局,8个工作日,0.0,0.0,4
厦门市,设立变更,市级社会团体变更登记和修改章程核准,"个人,社团组织",厦门市民政局,1个工作日,1.0,1.0,4
厦门市,设立变更,外商投资企业设立、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,设立变更,外资商事主体登记管理事务备案,企业,厦门市市场监督管理局,3个工作日,1.0,1.0,4
厦门市,设立变更,食品（食品添加剂）生产许可证变更（一般变更）,企业,厦门市市场监督管理局,7个工作日,1.0,1.0,4
厦门市,设立变更,食品（食品添加剂）生产许可证延续,企业,厦门市市场监督管理局,7个工作日,1.0,1.0,4
厦门市,设立变更,食品（食品添加剂）生产许可证变更（简单变更）,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,设立变更,药品零售连锁企业经营许可证登记事项变更的受理、审查、现场检查,企业,厦门市市场监督管理局（食药监）,7个工作日,2.0,2.0,3
厦门市,设立变更,音像制作单位变更名称、业务范围审批,企业,厦门市文化广电新闻出版局,12个工作日,1.0,1.0,4
厦门市,设立变更,内资电影放映单位变更名称备案,企业,厦门市文化广电新闻出版局,7个工作日,1.0,1.0,4
厦门市,设立变更,1.广播电台、电视台调整节目套数和节目设置范围的审核,事业单位,厦门市文化广电新闻出版局,7个工作日,1.0,1.0,4
厦门市,设立变更,包装装潢和其他印刷品印刷业经营者及专项排版、制版、装订业务单位变更主要登记事项备案,企业,厦门市文化广电新闻出版局,20个工作日,1.0,1.0,4
厦门市,设立变更,外国（地区）企业常驻代表机构备案,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,设立变更,保健食品生产许可（延续）,企业,厦门市市场监督管理局,10个工作日,2.0,2.0,3
厦门市,设立变更,内资公司设立、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,设立变更,出版物批发单位变更出版物经营许可证登记事项审批,企业,厦门市文化广电新闻出版局,7个工作日,1.0,1.0,4
厦门市,设立变更,典当行及分支机构设立审批,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,设立变更,融资性担保机构变更审批,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,设立变更,小额贷款公司变更与终止申请,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,设立变更,旅行社变更登记备案,企业,厦门市旅游发展委员会,7个工作日,1.0,,4
厦门市,设立变更,成立民办社会福利机构审批,"个人,企业,事业单位,其他组织",厦门市民政局,7个工作日,1.0,1.0,3
厦门市,设立变更,食品（食品添加剂）生产许可证核发,企业,厦门市市场监督管理局,7个工作日,2.0,2.0,3
厦门市,设立变更,具有法人资格的市级社团申领证书,社团组织,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,设立变更,药品批发企业经营许可证登记事项变更的受理、审查、现场检查,企业,厦门市食品药品监督管理局,7个工作日,2.0,2.0,3
厦门市,设立变更,企业从事包装装潢印刷品、企业或个人从事其他印刷品印刷经营活动审批,"个人,企业",厦门市文化广电新闻出版局,20个工作日,1.0,1.0,4
厦门市,设立变更,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,设立变更,印刷业经营者兼营包装装潢和其他印刷品印刷经营活动审批,"个人,企业",厦门市文化广电新闻出版局,20个工作日,1.0,1.0,4
厦门市,设立变更,职业技能鉴定机构设立审批-延续,"企业,事业单位,社团组织",厦门市人力资源和社会保障局,0个工作日,1.0,1.0,4
厦门市,设立变更,公共场所卫生许可（变更）,企业,厦门市卫生和计划生育委员会,7个工作日,1.0,2.0,4
厦门市,设立变更,市级民办非企业单位变更登记和修改章程核准,"个人,民办非企业单位",厦门市民政局,1个工作日,1.0,1.0,4
厦门市,设立变更,外资商事主体名称预先核准,"个人,企业",厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,设立变更,企业档案查询服务,"个人,企业,行政机关,社团组织",厦门市市场监督管理局,0个工作日,1.0,1.0,3
厦门市,设立变更,首次参保在校生的社会保障卡办理,个人,厦门市社会保险管理中心,16个工作日,1.0,,4
厦门市,设立变更,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,设立变更,中外合作职业技能培训机构合作办学者、机构住所、校长或者主要行政负责人变更,企业,厦门市人力资源和社会保障局,7个工作日,0.0,0.0,4
厦门市,设立变更,《台港澳人员就业证》核发,"企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,3个工作日,1.0,1.0,4
厦门市,设立变更,中外合作职业技能培训机构筹设,企业,厦门市人力资源和社会保障局,16个工作日,0.0,0.0,4
厦门市,设立变更,职业技能鉴定机构设立审批-设立,"企业,事业单位,社团组织",厦门市人力资源和社会保障局,7个工作日,1.0,1.0,4
厦门市,设立变更,设立民办技工学校--设立,"个人,企业,事业单位,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,10个工作日,0.0,0.0,4
厦门市,设立变更,保健食品生产许可（补办）,企业,厦门市市场监督管理局,10个工作日,1.0,1.0,4
厦门市,设立变更,内资企业集团登记,企业,厦门市市场监督管理局,3个工作日,1.0,1.0,4
厦门市,设立变更,市级民办非企业单位设立登记（含慈善组织设立登记）,"个人,企业,事业单位,社团组织,其他组织",厦门市民政局,10个工作日,1.0,1.0,3
厦门市,设立变更,消毒产品生产企业卫生许可（初次申报）,"个人,企业",厦门市卫生和计划生育委员会,7个工作日,1.0,1.0,4
厦门市,设立变更,市级地方性基金会印章、银行账号备案,"个人,其他组织",厦门市民政局,0个工作日,0.0,1.0,5
厦门市,设立变更,公共场所卫生许可（申请）,企业,厦门市卫生和计划生育委员会,7个工作日,1.0,2.0,4
厦门市,设立变更,建筑节能设计审查备案,企业,厦门市建设局,0个工作日,0.0,,5
厦门市,设立变更,建筑节能材料认定,企业,厦门市建设局,7个工作日,1.0,1.0,4
厦门市,设立变更,市级民办非企业单位印章、银行账号备案,"个人,民办非企业单位",厦门市民政局,0个工作日,0.0,1.0,5
厦门市,设立变更,新型墙体材料专项基金返还,企业,厦门市建设局,7个工作日,1.0,1.0,4
厦门市,设立变更,内资商事主体名称预先核准,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,设立变更,市级社会团体印章、银行账号备案,"个人,社团组织",厦门市民政局,0个工作日,0.0,1.0,5
厦门市,设立变更,单位提取已售公有住房住宅专项维修资金审核,"企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,8个工作日,1.0,1.0,4
厦门市,设立变更,邀请招标及特殊情况下不进行施工招标审批,企业,厦门市建设局,5个工作日,1.0,1.0,4
厦门市,设立变更,新型墙体材料认定,企业,厦门市建设局,7个工作日,1.0,1.0,4
厦门市,设立变更,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,设立变更,消毒产品生产企业卫生许可（注销）,"个人,企业",厦门市卫生和计划生育委员会,7个工作日,1.0,1.0,4
厦门市,设立变更,消毒产品生产企业卫生许可（遗失补发）,"个人,企业",厦门市卫生和计划生育委员会,7个工作日,1.0,1.0,4
厦门市,设立变更,融资性担保经营许可证注销审批,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,设立变更,公共场所卫生许可（延续）,企业,厦门市卫生和计划生育委员会,7个工作日,1.0,2.0,4
厦门市,设立变更,消毒产品卫生安全评价备案,"个人,企业",厦门市卫生和计划生育委员会,5个工作日,1.0,2.0,4
厦门市,年检年审,聘雇台、港、澳人员备案手续（或合同续签）,"企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,0个工作日,1.0,1.0,4
厦门市,设立变更,消毒产品生产企业卫生许可（延续）,"个人,企业",厦门市卫生和计划生育委员会,7个工作日,1.0,1.0,4
厦门市,年检年审,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,1.0,,4
厦门市,设立变更,外资申请增（减）、补、换发营业执照/登记证,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,年检年审,内资电影院电影放映经营许可证年检,"企业,其他组织",厦门市文化广电新闻出版局,1个工作日,1.0,1.0,4
厦门市,设立变更,外资商事主体迁移,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,年检年审,社会团体的审查备案,其他组织,厦门市经济和信息化局,0个工作日,0.0,1.0,4
厦门市,设立变更,民办普通高中学校变更审批,"个人,企业,其他组织",厦门市教育局,20个工作日,1.0,1.0,4
厦门市,年检年审,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,设立变更,小额贷款公司筹建申请,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,年检年审,职业技能鉴定机构设立审批-延续,"企业,事业单位,社团组织",厦门市人力资源和社会保障局,0个工作日,1.0,1.0,4
厦门市,设立变更,企业在高新区设立经营场所的核准,企业,厦门火炬高技术产业开发区管委会,5个工作日,0.0,,5
厦门市,年检年审,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,设立变更,中外合作职业技能培训机构终止,企业,厦门市人力资源和社会保障局,7个工作日,0.0,0.0,4
厦门市,设立变更,企业经营场所迁入高新区的核准,"企业,其他组织",厦门火炬高技术产业开发区管委会,5个工作日,0.0,,5
厦门市,年检年审,建筑节能设计审查备案,企业,厦门市建设局,0个工作日,0.0,,5
