area,topic,servicename,foruser,deptname,promiseday,wscs,ckcs,starprorepty
厦门市,生育收养,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,生育收养,收养登记（涉港、澳、台、华侨人员）,个人,厦门市民政局,10个工作日,2.0,2.0,3
厦门市,生育收养,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,生育收养,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,生育收养,出具收养登记证明（涉港、澳、台及华侨）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,生育收养,补领收养登记证（涉港、澳、台、华侨人员）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,生育收养,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,生育收养,收养关系解除登记（涉港、澳、台、华侨人员）,个人,厦门市民政局,10个工作日,2.0,2.0,3
厦门市,生育收养,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,生育收养,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,生育收养,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,生育收养,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,生育收养,撤销收养登记（涉港、澳、台、华侨人员）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,户籍办理,购房落户办事指南,个人,厦门市公安局,5个工作日,2.0,2.0,3
厦门市,户籍办理,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,户籍办理,父母投靠成年子女落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,户籍办理,调动人员落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,外来人员落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,户籍办理,投资落户办事指南,个人,厦门市公安局,5个工作日,2.0,2.0,3
厦门市,户籍办理,获得荣誉称号人员落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,侨房业主或继承人落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,原厦门籍退休或归侨人员回厦落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,捐赠落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,知青本人及其子女来厦落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,普通教育大中专毕业生入户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,收养子女落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,夫妻投靠落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,复员、退伍及转业军人落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,驻厦办事机构人员落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
