click_r,release_t,title,content,transfer_u,expect_t,reply_c,satisfy_d,evaluate_t,evaluate_c
811,2016/11/14,投诉三明市尤溪县洋中镇派出所,2016年9月21日，三名自称洋中镇派出所人员，未出示任何证件的情况下。非法搜查我的居所，并非常扣压我的财物。,尤溪县局,2016/10/26,赖建*：您好！你的来邮已收悉，现答复如下：2016年9月17日中午11时许，洋中派出接尤溪县公安局指挥中心转警称：蔡某某发现自己家的三楼住房的玻璃不知被何物打了五六个洞。接警后，洋中派出所即派员赶赴现场进行勘查并走访调查取证，未发现有价值线索和可疑人员，将该案立为故意损毁他人财物案进行调查。2016年9月21日下午14时许，受害人蔡某某又打电话向尤溪县公安局洋中派出所报警反映：她家的三楼住房的玻璃不知被何物又打了几个洞。洋中派出所立即组织民警协警赶赴现场并走访调查，发现租住在洋中镇洋中村中心街100号2层的你有重大嫌疑。于是出警人员就到你租住处走访调查，对你表明身份后，在你租住处发现了弹弓枪1支、弹弓3个和钢珠弹1盒，并当场对你盘问，你陈述：于几个月前，在网上购买了弹弓和钢珠，闲时就在自己的租住处打弹弓，不小心把邻居的住房玻璃打坏了，你表示愿意赔偿一切损失，当天尤溪县公安局洋中派出所对该案进行调解处理，组织你与受害人蔡某某进行协商，经*方协商达成一致意见，你同意一次性赔偿给损失五百元整。尤溪县公安局对该案进行核查时发现洋中派出所民警未严格按照案件程序规定对此案进行办理，已对相关人员进行批评教育，洋中派出所已于2016年11月11日将弹弓枪1支、弹弓3个和钢珠弹1盒退还给你。感谢你对公安工作的理解与支持！,,,
507,2016/11/28,请求撤销违章,你好！我的小车闽A###3L，电子探头拍到说违停。我这里要复议一下：小车是在排队进入北广场的地下停车场，入口处有一辆小车卡在入口，由于地下停车场的入口处于斜坡位置，前面的小车感觉有溜车的迹象，就不敢跟车跟得太紧，停车排队等候前车进入后，我才能右转进去。所以，我是属于合法排队等待进入停车场，请交警帮忙调取监控查证。谢谢！！我可以比较明确的是停车等候进入地下停车场，监控的图片中如果拍到是在车库的入口的网状区域，那是合法的停车等待，不是违章停车。我在去火车站的线路上，唯一有停车的地方就是这个等待进入车库的地方。请公安同志认真的核实这个问题。谢谢！,福州市公安局,2016/11/28,吴先*：您好！感谢您对福州交通管理工作的关心和支持，您的来邮已收悉，现将问题答复如下：经核查，闽AG983L小车于2016-10-2908:36:30在福州站北广场高架桥西侧拐1处监控东向路段实施了“遇前方机动车停车排队等候或者缓慢行驶时，在人行横道、网状线区域内停车等候”违法行为，事实清楚，证据充分。如果您对交通监控设备采集的交通违法信息有异议，可携带行驶证、驾驶证到晋安区前横路30号机动特勤大队交通违法查询窗口申请复核。感谢您对公安工作的理解与支持！,不满意,2016-38-01 04:38:52,简直就是不讲道理了。进入车库前，前方车停下来，难道不停下来，我还得撞上去不成？？
477,2016/12/2,材料齐全到宁德蕉北派出所办理暂住证跑了五趟还没办下来！,到宁德蕉北派出所办理暂住证跑了五趟还没办下来！本人外地户口，在宁德工作四年多，社保都交了四年多，因学驾照需要办理暂住证，去所属宁德市公安局焦北派出所窗口咨询并填写表格申请办理暂住证，因之前所租住的房东不愿提供身份证和房产证复印件，故又重新租了房子，并和新房东一起到窗口登记重新填写申请表，按规定所需提供材料（身份证复印件、彩照、房东身份证、房产证复印件、租赁合同复印件），窗口说联系片警，并把材料交给片警，片警说租房合同刚签不久，没有住满三个月并一定能办暂住证。片警说要单位证明，又外加了单位证明，加了单位证明好了，又叫到租住房子所属的社区开居住证明，到所租住的房屋拍照。到片警那跑了三趟，（窗口告知的办理暂住证材料并未要求提供单位证明和社区的居住证明），材料给片警一个星期后，叫我到窗口，工作人员又说租房合同没满一个月，要满一个月后才能办，关键之前第一次去窗口申请办理暂住证时工作人员都没有说要租住地方要满一个月以上。材料齐全跑五趟外加额外提供的证明，最后叫再过一个月来办。还说宁德他们这里是最快的，让我到其他派出所问问办暂住证有没有这么快，这样的办事效率！,蕉城分局,2016/11/24,曾小*：您好！你的来邮已收悉，现答复如下：经了解，11月30日，蕉北派出所已为你办理了暂住证。因派出所工作人员业务不熟，给你带来的不便请你谅解。宁德市公安局蕉城分局将加强对工作人员的业务培训，提高办事效率。感谢您对公安工作的理解与支持。2016年12月2日,,,
11262,2016/12/7,未命名道路和断头路晋江市青阳一中队协警乱开处罚单,车主魏金权；车牌号码闽C###8M；于2016年11月14日将车辆临时停靠在自家小区外且完全没有影响任何交通秩序的未命名且断头路上；但是两位交通协警拿着一叠已经事先盖好正式民警的违法告知单（正式民警：张培锋和范军贤），来了直接对这条未命名且断头路上的车辆逐一开单进行处罚，交通民警不是应该以疏导交通为主吗？望能尽快督促给予答复：1.临时停靠在自家小区外且完全没有影响任何交通秩序的未命名且断头路上属于违法行为吗？2.开具罚单应该是正式民警的权利，难道两位协警就能够直接进行处罚吗？,泉州市公安局,2016/11/29,魏金*同志：您好！您反映的信访事项来邮已收悉，现答复如下：经查，该道路虽为未开通道路，但属于市政道路，以通行为主要目的，且周边群众反映该路段违停现象影响小区车辆进出，造成拥堵，存在安全隐患。您的车辆所停位置并未施划停车位标线，晋江市公安局交警大队工作人员在现场对车辆违停进行拍照取证，并张贴告知单，后续再对证据材料进行核实处理，最后由民警作出处罚决定。感谢您对公安工作的理解和支持！,,,
464,2016/12/14,关于恢复本人名誉清白，更正错误的违法记录信息,本人名字陶强，退伍回来后在漳州经商，2004年被莆田拱辰派出所录入违法偷盗人员信息，称本人2004年因在大巴上盗窃，被现场抓获并被判刑，录错的信息录在本人的身份信息内，给本人带来极大的因绕和伤害，坐动车柀公安盘查，前年我有去找当年经办该案的拱辰派出所吴金生警官，有找过公安局信访部门反映情况，并在莆田市公安局抽血拍照，当年所抓获偷盗人员跟本人毫不相干，后来吴金生警官通知我说违法已经撤销更正了，2016年12月4曰，我在江西宜春乘动车回漳州，在动车站被铁警盘查，说我身份信息里有违法记录，请公安厅里部门帮我主持公道，查明情况、恢复我的清白，及时更正录错的身份信息。给本人这么多年精神上带来的痛苦，希望当年经办该案的吴金生警官能给我本人道歉。,荔城分局,2016/12/14,陶强*志：您好！您的来邮已收悉，现答复如下：经查，没有发现存在与您反映相关联的信息。2016年12月9日，与莆田市公安局进行再次核实，莆田市公安局于2015年1月就按照信息变更的要求，上报审核并通过审批，已更正相关数据。给您带来不便，敬请谅解。感谢您对公安工作的理解与支持！,满意,2016/9/18 4:09,但是这个月，2016年12月4曰我在宜春坐动车回漳州，进站时候被铁警拦下，手里拿的人口信息查询里还有我的关于盗窃的违法信息，所以不明白，恳请帮助解决这个问题，困扰了我多年，不知该怎样解决。
385,2016/12/26,机动车自主选号不能选号,用户已被列入非正常选号嫌疑对象，请等待用户选号车辆信息的审核结果！咨询个人都不能咨询！打了好多个泉州的车管所电话都没有接听！0595-28#######595-86####39,交警总队（交管局）,2016/12/23,魏素霞:您好！来信收悉，现答复如下：我厅交警总队已要求泉州交警支队车管所对您的嫌疑情形进行审核，经审核您的嫌疑情形已排除，您可正常选取机动车号牌。感谢您对福建公安工作的理解与支持。,,,
700,2016/12/30,福州市鼓楼区经侦大队纵容骗子公司行骗，无视老百姓财产安全！,我们一行三人于2015年2月份左右被福建普道投资管理有限公司诱骗炒现货原油造成严重亏损152万元，后经了解该公司无任何经营原油资质，也无任何政府批文，更不存在第三方银行托管，纯属平台公司控制着后台虚拟软件涨跌！今年9月份我们一行三人收集了该公司一些违法材料递交给福州市鼓楼区经侦大队，该大队负责人及经办人百般刁难、不予理睬，相互推诿！此事对我们生活造成严重的影响，政府各部门对此事视而不见造成现货金融公司有恃无恐继续行骗，大大影响着社会稳定，此毒瘤不除，老百姓永无安宁！恳请厅长给我们做主彻查此事，让我们回归正常生活轨迹，叩谢领导！（附：该公司地址：福州市五四路环球广场22#）,鼓楼分局,2016/11/16,"王念*：您好！你的来邮已收悉，现答复如下：根据反映的情况，经查,新华（大庆）产权交易所系黑龙江省工商行政管理局核准审批成立的，并经国务院部际联席会议通过保留的交易的（清整联发[2013]14号），以及黑龙江省人民政府批准在立确认和备案的，以各类产权、公共资源、环境能源、大宗商品、基金、理财产品、保险产品的交易活动提供场所和平台的综合类交易所，福建普道投资有限公司为其会员单位。当事人您于2014年12月16日与该公司签署关于参加新华产权交易所原油指数入市开户客户协议书。提供相关身份材料、风险提示书、确认函等相关协议材料之后进行交易。经调查核实，您亲自签署客户协议书，并清楚投资风险，所有操作交易记录均为其本人亲自所为，交易记录的情况显示交易正常，不存在任何违规代客理财与交易的行为，不构成立案条件，其所诉的情况属民事经济纠纷事宜。您若对在该交易所平台上产生的经济纠纷有异议，应向人民法院提起民事经济诉讼。对于调查情况，鼓楼经侦大队已向您明确告知。感谢您对公安工作的理解与支持！",,,
649,2017/1/18,驾考安全员违反考场纪律，欺骗考生，态度恶劣（泉州康达考场),安全员虚假承诺按指纹后会告诉考生在哪个按钮调整后视镜，结果按完指纹他拒绝告知。欺骗考生，如果安全员不能提示考生哪个按钮调整后视镜，那他就不应该做出那样的承诺。安全员违反考场纪律，而且欺骗考生。另外考生普遍反应不少安全员态度恶劣，刚上车就一直催促开车，影响考生考试心理状态。不少考生因此失误。要求对安全员的欺诈行为做合理的处理。警示安全员的服务态度和社会影响。谢谢,泉州市公安局,2017/1/9,黄志*同志：您好！您反映的信访事项来邮已收悉，现答复如下：经查，您反映的是2017年1月5日康达考试场科目二考试。学员上车后一直不懂得调整后视镜且没及时进行考试，导致后方车辆堵塞，引车员提醒学员往前开并按考试开关开始考试是符合考试流程的做法，且引车员并无义务提醒学员如何调整后视镜。考试视频中可以看到引车员态度良好。泉州市公安局交警支队已跟驾校负责人取得联系，学员本人可与驾校负责人一起到考试场查阅相关视频，看是否存在学员所投诉情况。泉州市公安局交警支队相关工作人员于2017年1月16日已将核实情况电话告知您，您表示对核实结果表示满意。感谢您对公安工作的理解和支持！,,,
706,2017/2/8,厦门市湖里公安局禾山派出所知道犯罪事实不予立案,本人持有车辆闽D###1R于2016年9月15日在驾驶过程中发碰撞导致叶子板受损，并于当天送至厦门盈众润宇4s店进行维修，原本维修费用为2万多，交车后车辆被4S店加以砸车并进行骗保，骗保金额高达6万多。发现后我报警求助厦门湖里公安局禾山派出所请求立案，派出所民警不予理睬，后本人强烈要求做笔录才给做了笔录，然后就没下文了。本人打警察电话被挂断，到派出所不被接待，而后本人到厦门市信访投诉，接到投诉后经办民警匆匆通知我前去领取不予立案通知书，通知书内容为没有任何证据证明4s店有犯罪事实。截止今日为止四个月没有任何一个警察找我要过证据或调查过事件，经公安系统警察朋友打听才知4S电在第一时间已交代好所长及民警了。,湖里分局,2017/2/8,李女*：您好！您的来邮已收悉，现答复如下：经查，您反映的事项属于经济纠纷，并非案件，不属于公安机关管辖范围，厦门市公安局湖里分局已于2016年11月25日作出不予立案决定。关于您反映的4S店负责人李某第一时间交代派出所所长及民警的情况不属实，经核实，李某的老公为民警，但与禾山派出所所长及民警互不认识，也无您反映的提前打招呼的问题，整个执法过程中，民警均严格依法依规办理，无任何徇私枉法的行为。感谢您对公安工作的支持！,,,
390,2017/2/21,执法不规范,2017年2月15日15:30分，我骑摩托车从顺昌火车站往顺昌县城西方向行驶，途经顺昌中山城工地（原顺昌电影院）路段，忽然从工地冲出警察拦住我的车，拔掉我摩托车锁匙叫我出示证件。因他们执法不规范，我根据法律规定要求他们向我出示有关证件，结果没有一人出示，我推着车和他们一起走到交通岗亭，然后也没有任何人向我出示证件，一名女警叫我看她编号。顺昌交警这次执勤执法不规范主要表现：1、在施工地段执勤执法，未设置任何警示；2、交警行为不文明；3、利用协警、辅警不规范。希顺昌交警按照《交通警察在道路执勤执法规范》在道路执勤执法，执法者首先守法。,顺昌县局,2017/2/16,宋具*同志：您好！您的来邮已收悉，现答复如下：经核实，顺昌交警大队民警带领协警人员在岗亭路口执行勤务，依据《人民警察法》第二十三条规定：“人民警察必须按照规定着装，佩戴人民警察标志或者持有人民警察证件，保持警容严整，举止端庄。”的规定，顺昌交警警务人员在此次警务中依法依规，不存在不文明，不规范行为。感谢您对公安工作的理解与支持！,满意,2017-51-22 01:51:53,有按照《交通警察在道路执勤执法规范》在道路执勤执法吗？
