click_r,release_t,title,content,transfer_u,expect_t,reply_c,satisfy_d,evaluate_t,evaluate_c
5449,2017/9/27,请公安机关采取强制措施,福建公安公众服务网和国家信访局转到地方后，现在答复是经过调查说我和姚志坚是民事纠纷，要去法院解决！不知他们是怎么调查的？问题是我都没见过姚志坚，还有担保人洪跃火最后承认那些借条是他叫别人写的，并非姚志坚写的，姚志坚的房产证也是洪跃火伪造的！姚志坚的微信也是洪跃火申请的，并叫别人冒充姚志坚骗我说他母亲重伤住院急需钱！这样能到法院起诉吗？之前洪跃火就骗我三万多元一直没还，他帮我办了台刷卡机，刷卡机本应绑定我银行卡，他却绑定他银行卡，导致我朋友刷卡的钱都进入他银行卡被他卷走不还，我说要报警后他才过来写欠条！漳州电视台记者在线有下来采访这件事！后来我因骂导致我母亲精神病的某个领导人进拘留所十五天，我叫洪跃火带些水果来看我，他也确实带水果来看我，再后来他说他爸重病住院急需钱治疗，用他爸土地证做抵押，向我借了十几万元，他说他家快拆迁了，拆迁工作队已经进村了，最慢今年九月份就赔偿，（但是现在却还没拆迁），他说到时他家能赔五百万左右，他家古房子很多！他说到时一定加倍报答我，有立借款合同！我一时感情冲动就借钱给他！再过一个月左右，他说砍伤别人，公安要抓他，他急需钱打点，要继续向我借钱，许诺一万元利息一天一百元，不过我没再借给他钱！于是他便设计了姚志坚母亲重伤住院并伪造了假房产证这个骗局！漳州电视台记者在线又下来第二次报道有关他骗我钱的故事，说心里话，我被他骗得团团转，他为了假戏真做，竟然专车载我到县医院和漳州175医院，说姚志坚母亲重伤严重，县医院转到市医院，到医院后，又说姚志坚和他妈进了重症室ICU，不能进去！又叫个人冒充姚志坚不停打电话和微信给我，说他妈重伤如何严重，说谢谢我大恩大德，导致我不停转给他钱和把钱交给洪跃火!不过我觉得洪跃火可能又在骗我，那个姚志坚微信他申请的没错，但是应该是姚志坚和另一个人共用，因为姚志坚在微信里说洪跃火也骗了他一万多块,,,黄雄伟您好！您的来邮已收悉，现回复如下：根据您反映的情况，经调查，您与姚志坚借款协议属民间借贷纠纷，建议您直接向法院起诉；您反映姚志坚的房产证若确为假证，姚志坚若确实有诈骗行为，您可以收集证据材料直接向发案地派出所报案核查。感谢您对公安工作的理解与支持！,,,
6197,2017/9/27,机动车驾驶证违章处理。,2016年6月公司摩托车，无证无牌，被现场扣车。使用本人身份证开具罚单。由于黑车，无法处理，。拨打交警支队等电话，也是无法处理，而且本人驾照扣除12分，违章还无法消除。请问这个违章该如何处理。是否我这辈子都无法拥有驾驶证了？,城厢分局,2017/9/27,刘浪：您好！你的来邮已收悉，现答复如下:经核实，2016年5月10日，你因驾驶与驾驶证载明的准驾车型不相符合的非汽车类机动车、上道路行驶的机动车未悬挂号牌、未按规定戴安全头盔被莆田市公安局城厢分局交警大队查获，民警现场开具强制措施凭证，因你无法提供该摩托车的相应牌证，无法说明车辆合法来源，故城厢交警大队无法按程序规定处理该违法行为。经城厢交警大队电话通知，你已于2017年9月26日下午，携带车辆来历证明及其驾驶证、身份证原件到交警大队处理交通违法行为，交警大队按照相关规定，对你的违法行为合并处以扣26分，罚款600元，并扣留驾驶证，待学习考试合格后归还，你对交警大队处理意见无异议。感谢对公安工作的理解与支持！,,,
6390,2017/9/28,报案——莆田仟亿通讯店涉嫌诈骗案,尊敬的厅长办公室领导（信访办领导）：今年6月，佰仟金融公司福建调查团队在处理公司内部违规问题时发现，莆田仟亿通讯店极有可能涉嫌与多名客户被骗的案件有关。据悉，商户勾结不法中介通过微信、电话等形式发布消息称可以贷款不用偿还，欺骗客户至佰仟公司合作的手机店办理业务，客户到达手机店后，我司销售人员、手机店老板、中介等人以虚假的资料信息填报审核资料，骗取我司款项，将所得款项进行分赃，据客户反映，在仟亿通讯店以买手机分期付款的名义办理了佰仟金融手机分期业务，却未拿到手机，得到1500元至2000元不等的好处费。截止2017年本月，已有多名客户严重逾期，初步排查，被骗客户39人，涉案金额约19##60元。目前已锁定涉案的中介人员：1、林玉仁，手机号：13#######09；2、王洪随，手机号：152##968503。8月，佰仟金融福建省调查员和调查经理多次协助客户前往莆田荔城区镇海派出所报案，但该派出所值班民警王志伟警官以“我就是不受理”为由，拒不受理此案，无理由不出具《不予立案告知书》并恶意驳赶我司人员和受骗客户，受骗客户现场情绪十分激动，并用手机录下民警的不当言辞，为免事态发展扩大，请求警方予以立案侦察，不胜感激。,荔城分局,2017/9/28,邱建斌同志：你好!你的来邮已收悉，现答复如下：你反映“报案，莆田仟佰亿通讯店涉嫌诈骗案”的信访事项，经核实：2017年9月19日，你反映的信访案件，由莆田市公安局镇海派出所移交莆田市公安局荔城分局刑侦大队侦办。目前，该案件正在初查之中，同时请你和你公司积极配合公安机关调查工作。给你带来不便，敬请谅解。谢谢你对公安工作的理解!,,,
6096,2017/10/19,诈骗勒索案请求支援,林铭星，南平人。在高中同学的搭线下，和这个人进行茶叶交易，在2016.8.31加微信，由于是高中同学的远方亲戚，便也客气和松懈警惕一些，在我发货后，对方承诺收到货两三天就给我转账，到最后脱了一年多至今都还没给我欠款。中途有删除我的微信，后边又加上了。他也删除了我的高中同学的微信。在这个一年多追款中，我用尽了各种办法但是都没有结果，5000多远啊，我不想农民的钱就这么白白没了，这个人的信用有问题，所以，希望公安局出手，至少打电话跟他交流，让他意识到这件事情的严重性。我说去派出所，可是派出所不接我的事情。无路可走啦。我也是心善的，我并不希望真的制裁他，毕竟也不想这么绝情，只要恐吓他让他还钱即可，我在想只要公安局打电话给他，应该就可以很好的解决了。,仓山分局,2017/10/19,同志您好，您所反映的问题已经收悉。诉求反映拖欠货款的情况属于商业违约行为，非公安机关管辖。该诉求属于人民法院管辖范围，建议诉求人向事件发生地人民法院提起民事诉讼解决该纠纷。,不满意,2017-45-20 12:45:27,去法院起诉，我的钱都不够支付律师，怎么起诉呢？欠款都不够起诉费用，那还不如不用还了，那么，百姓的钱就这样要不回来了吗？那么骗子就这么逍遥法外了吗？请求支援
5934,2017/11/13,福建省泉州市惠安县东岭镇潘厝村书记苏永祥身为村书记来霸占我家,恳求！国家政府，村书记乱用职权霸占我家宅基地土地投诉无门，还多次被恐吓我一家老小！恳求国家政府让我老人家一家得到公平处理结果。感恩！感恩！本人苏亚兰今年68岁，家住福建省泉州市惠安县东岭镇潘厝村1队，儿子勤劳、俭朴，儿媳孝顺、中直，孙儿、孙女乖巧听话，一家人过着清苦、安稳、和谐的幸福的日子，人人都夸我有个好尾景。现被福建省泉州市惠安县东岭镇潘厝村书记苏永祥身为村书记来霸占我家宅基地土地，还欺压我一家老小不得安宁，潘厝村书记苏永祥自身得癌症，再来欺压我家老小，害我一家有家不敢回，与福建省惠安县东岭镇镇政府叶荣聪书记反映过及多次报案东岭镇派出所迟迟未立案调查！2014年的一天，苏永民、苏永祥现东岭镇潘厝村书记、苏雪云三姐弟到我家来说，要商量我家东面的厕所地和菜地，他们家建新房子会占到我家的厕所地和菜地，想找我家买，刚好我儿子那天也在家，儿媳上班去了，我说卖肯定是不会卖，这是我二叔（李其雄的）当时我家要建房子要建化粪池，后来没用到就用来种菜，既然你们要用到这块地那你们就用，你们就留西面合巷这边给我们，你们往前点，巷子留大一点，到时候外装修你们可以搭竹架，我们外装修也可以搭竹架。我话说完苏雪云就问搭竹架要多宽，我说我也不懂，苏永民身子一转说大概要一米，苏雪云就说就这样吗？这么简单?我说对啊!不然要怎样，我跟你妈（庄秀兰）像姐妹，你跟我女儿又嫁同一个村也像姐妹，你兄弟他们跟我儿子虽然不是同伴人，但来到这是要做邻居，我儿子当时也说这样好，苏永民说，那我们就这样定下了，他说他等下还要去广东，我跟我儿子都说就这样定下来。到他们家挖地基的时候，开到我家的挖地基，连我们砌好的井边挡土墙都给挖了，我就问苏永民你们怎么挖这么过来啊，他告诉我到时候砌起来你就看得懂了，砌墙的时候会缩回去，留了55公分的巷，我说55公分我一个人下去不就刚刚好不能动了，那做泥水的师傅不是要很苗条，不然要怎么做事，还怎么搭竹架，我儿媳说你们不是说留一米吗？为此事我儿媳就跟苏永祥吵起来。,惠安县局,2017/11/13,苏亚兰同志：您好，您的来邮已收悉，现答复如下：您反映的系土地纠纷问题，不属于公安机关管辖，请您依法向惠安县土地部门或东岭镇人民政府反映。日常中，对方如有侵犯您的人身安全或损坏您的财物等违法行为，可向当地公安派出所报警反映。感谢您对公安工作的理解和支持！,不满意,2017/5/13 8:05,请惠安县公安局相关人员把文字看清楚，不单单是土地问题，而是多次报案东岭镇派出所迟迟未立案调查！打人需要当时验伤，派出所为什么不强制要求村书记验伤？地方管管相互
59,2016/7/21,海西商品交易所诈骗,你好，我在海西商品交易所开立了交易账户，入金后被强行配售商品，这个配售指令并不是我本人发出的，配售商品并不是我要购买的，损失惨重，后得知很多人都与我有同样的遭遇，这个是海西商品交易所的网址：http://ybk.hxce.cn这个应该是属于非法集资、诈骗了，还请警官处理，谢谢,鼓楼分局,2016/6/16,刘利利：您好！你的来邮已收悉，现答复如下：经查，海西商品交易平台系经国家工商总局核准成立，并经国务院部际联席会议通过保留的交易所，经福州市政府确认的综合性电子商务平台和第三方现货交易平台。您若认为受到不法侵害，根据相关办案规定，请您（或委托律师）持相关的报案材料到事发地公安机关具体报案。若构成立案条件，公安机关将会给予正式立案并调查；若不构成立案条件，属民事纠纷事宜，当事人应向其主管金融机构具体反映，或向人民法院提起民事诉讼。感谢您对公安工作的理解与支持！,,,
2155,2016/8/10,关于国外驾照换领国内C1驾照事宜!,尊敬的领导，您好，我是苏清英女士，刚回国不久，持中国护照。昨天去莆田市公安局交通警察支队办理国外驾照换领国内C1小汽车驾照。被要求换领C1驾照需要参加科目一，科目三及交通安全文明考试。。。根据机动车驾驶证申领和使用规定(2016)公安部令第139号自2016年4月1日起施行第三十四条持境外机动车驾驶证申请机动车驾驶证的，应当考试科目一。申请准驾车型（B1)为大型客车、牵引车、城市公交车、中型客车、大型货车机动车驾驶证的，还应当考试科目三。但我只是申请换领小汽车C1，并不是大型客车、城市公交车，不应该随意增加我的科考，已经收取了相关考试的费用了，还请您定夺并调解！今日又去跟负责人谈，负责人说知道这政策，就是不能执行，难道国家的政策是用来开玩笑的么？我不知道莆田地方政策是根据哪个文件而定的？还请您主持公道！维护国家律法的尊严！再次感谢,莆田市公安局,2016/8/10,苏清英同志：您好！您的来邮已收悉，现答复如下：根据《机动车驾驶证申领与使用规定》第三十四条规定，持境外机动车驾驶证申请机动车驾驶证的，应当考试科目一。同时，对境外驾驶证真伪无法辨识或有质疑的，按福建省公安厅交警总队关于严格核查境外驾驶证换领的相关规定，应加考科目三或启动嫌疑核查程序，即发函至驻华使馆核查驾驶证真伪。感谢您对公安工作的理解与支持！,不满意,2016-33-11 08:33:33,我不满意莆田交警支队没有认真审核材料文件，就怀疑，连回复意见也是抄的，不管问什么，总是这句话，请把相关文件说明清楚。是否有发函去取证？？？？只凭自己的感觉就认定，希望有上级领导管管莆田交警支队地方制度！
1304,2016/9/26,请求撤销违章扣分,尊敬的领导，本人驾驶闽C###8Y的小型汽车2016年8月30日14;28：28在晋江是福兴路与后林路交叉口（福兴路同丰路路口）因机动车通过有灯控路口时，不按所需行进方向驶入导向车道被抓拍。实际情况是本人驾驶车辆要右拐，而右拐车道被一辆故障大客车违停占道，不得已本人才借道行驶。望领导明察给以撤销违章扣分。谢谢,泉州市公安局,2016/9/5,刘联发同志：您好！您反映的信访事项来邮已收悉，现答复如下：晋江市公安局相关工作人员已与您取得联系，告知若您能提供当时右转车道有客车占道违停导致需要借道行驶的图片，晋江市公安局交警大队将上报泉州市公安局交警支队申请撤销闽CU398Y该条违章信息，您表示理解。感谢您对公安工作的理解和支持！,,,
1169,2016/10/28,回国户籍落户问题,儿子2004年出国留学户口被派出所注销，今年1月份回国，到目前无法落户。请问：我们为什么不能享受国家落户政策。【国务院规定不能设置落户所有前置条件】,社区警务指导处,2016/10/28,林述银:您好！您的来邮已收悉，现答复如下：1、您原户籍地如果是我省的，请带上您的中国护照先到您所要恢复户口所辖的县（市、区）侨办确认是否华侨身份。如果确认为华侨，由侨办直接办理；如果是非华侨，带上侨办出具的《不予受理（批准）定居通知书》原件，到所辖派出所受理，申请之日前一年内在国内连续住满60天或累计住满90天，受理单位应审查以下材料：（1）国外中国公民回闽落户申请表；（2）设区市政府侨务办公室出具的《不予受理（批准）定居通知书》原件（需注明“不具备华侨身份”）；（3）末次入境持有的出入境证件原件及复印件；（4）拟落户地合法稳定住所证明原件及复印件，房产属于直系亲属的还应提供公安派出所出具的家庭关系证明；（5）原户籍地派出所出具的《户口注销证明》；（6）申请人2寸免冠白底彩色近照1张。2、若您原户籍地是省外，不能在我省受理。感谢您对公安工作的支持与理解！,满意,2016-55-01 02:55:53,领导辛苦你们；我们户籍在福清市东瀚镇莲峰边防派出所。派出所领导说；”我们目前划为福州新区，市政府通知不能落户，不给提供任何相关证明“。我们9个多月了每次去都是同样答复。请问这是真的吗？我不明白为什么与国务院文件不呼应。没有户籍，没有身份证寸步难行应该怎么办？谢谢！
624,2016/12/2,麻烦请上级领导抓紧时间撤销交通违法行为,尊敬的领导，您好！由于闽F###40（黄牌）在三明市永安市西洋镇被永安市西洋派出所移动测速车，抓拍到于永安市西洋镇（东石路271公里#00米）违法超速90公里每小时，当日为乡镇墟日。9月29日填写情况及上交公司GPS监控轨迹回放图第一次行政复议，于10月21日，本人带上复议材料及公司各项证明到永安市交警大队进行行政复议。车子这个月马上要进行年检，麻烦上级领导明察秋毫，请三明交管支队尽快撤销不合理交通违法行为，谢谢！以下是三明市永安市交警大队给予的答复：曹友标：您好！你的来邮已收悉，现答复如下：经核查，你驾驶的闽F###40客运车辆在2016年6月20日8时##分移动测速（设备编号：12#11）抓拍的记录图片，超速为90公里每小时可能有误，永安市公安局交警大队已按程序上报三明市交管支队审批，撤销交通违法行为。感谢您对公安工作的（理解与）支持！,永安市局,2016/11/17,曹友标：您好！你的来邮已收悉，现答复如下：经核实永安市西洋东石线271公路500米处移动测速点在进出口的位置均有提示全程监控，现场采集的闽FY6140大型客车的超速图片能够准确反映机动车的类型、号牌等相关信息，图片上叠加的违法限速规定的日期、时间、防伪码、道路限速值、车辆行驶速度值等信息，符合取证标准。如果你对处罚决定不服可以申请行政复议或者提起行政诉讼的。感谢您对公安工作的理解与支持！,,,
