title,time,content,repcontent,reply_p,reply_ta
关于公司备案联络人变更,2017/3/15 0:00,怎么变更公司备案联络人，需要准备什么材料,如属于外资公司，则需提交材料请参阅厦门市市场监督管理局网站“办事大厅”-“外资商事主体注册”-“登记须知”-“法人商事主体”-“外商投资企业”-“备案”-《外商投资企业备案提交材料清单》；如属于内资公司，则需提交材料请参阅厦门市市场监督管理局网站“办事大厅”-“内资商事主体注册”-“登记须知”-“公司登记”-“备案登记”-《公司备案办事指南》,市场监督管理局（工商局）,2017/3/16 0:00
外地的招标代理企业来厦经营需要备案吗？要如何备案呢？,2017/3/20 0:00,外地的招标代理企业来厦经营需要备案吗？要如何备案呢？,你好，外地的招标代理企业来厦经营不需要备案。谢谢！,建设局,2017/3/20 0:00
邀请函,2017/3/24 0:00,邀请孟加拉客户到厦门商谈业务，有人数限定吗,您好，根据要求，一个月只能申请一个该国家的外国人，详情咨询：0592-77###03。,商务局,2017/3/27 0:00
房屋产权分割,2017/3/27 0:00,我单位为天津市企业，在湖里区有4套房产，但每两套房产为一个产权证，已办理重新测绘，请问，取得测绘图纸后，下一步需提交什么资料（原件？复印件？）具体有什么要求，谢谢！,公司营业执照副本（如登记产权证用的是其它证件，则提供其它证件）原件复印件盖公章，法人身份证复印件盖公章，经办人身份证原件复印件盖公章，介绍信，产权证，测绘的图纸，不动产权登记申请表到市行政服务中心一楼B厅去办理。如房子还有抵押，还需要抵押权人出具同意办理的同意函。,厦门市不动产登记中心,2017/3/28 0:00
食品流通许可证,2017/3/31 0:00,能帮忙查下食品流通许可证是什么时候到期吗,您好，食品流通许可证在您所在区的行政服务中心市场局窗口办理，证件有效期可以直接查看您的《食品流通许可证》，也可以咨询您所在区的行政服务中心市场局窗口。,市场监督管理局（食药监）,2017/4/1 0:00
厢式货车的车身广告设置,2017/4/6 0:00,领导，您好！因经营需要，我司拟对自有20台箱式货车的车厢喷涂车身广告，请问目前厦门政策是否允许，需要什么样的审批流程？谢谢！,您好！您的申请非我局入驻中心窗口服务事项，可拨打我局值班电话22###36进行咨询，也可咨询城市管理执法局,市场监督管理局（工商局）,2017/4/6 0:00
父母投靠成年独生子女，父母结婚证丢失，一方已过世,2017/4/10 0:00,您好~我母亲要办理投靠成年子女将户口迁至思明区，条件符合，但是结婚证正本已丢失。因父亲已过世，也未再婚，现在无法补办，应该如何处理？谢谢,您好，当事人婚姻状况因离婚或丧偶发生改变的，婚姻登记机关不予补发结婚证，可到原婚姻登记机关复印当时的结婚档案作为结婚证明。,民政局,2017/4/11 0:00
内资公司验资备案,2017/4/11 0:00,您好，我公司是有限责任公司，注册资本是伍仟万元，目前收到股东的出资额贰仟万元，且已有某厦门会计师事务所出具的验资报告书。备案的话是填写《公司备案申请书》中的“实收资本”吗？“出资时间”和“出资方式”要一并填写吗？谢谢。,属于内资企业，请在厦门市商事主体登记及信用信息公示平台“内资商事主体注册”-“登记须知”-“公司登记”-“备案登记”栏目查阅、下载“公司备案办事指南”，按照办事指南要求办理；目前并无《公司备案申请书》这一表格，贵公司需提交的表格为《公司登记（备案）申请书》，按表格填写说明第5项填写表格，大至如下：公司申请备案登记。填写“基本信息”栏中的“名称、注册号/统一社会信用代码”及“备案”栏有关内容。,市场监督管理局（工商局）,2017/4/12 0:00
非本市园林绿化信息登记,2017/4/14 0:00,非本市园林绿化信息登记，将于6.30日到期，请问延期材料什么时候提交？需要复核身份证原件吗？,你好，根据《住房城乡建设部办公厅关于做好取消城市园林绿化企业资质核准行政许可事项相关工作的通知》（建办城[2017]27号），不再受理园林绿化企业资质相关事项。谢谢！,建设局,2017/4/17 0:00
公司要用投资入户的名额帮我落户，请问需要调人事档案吗？,2017/4/19 0:00,公司要用投资入户的名额帮我落户，请问需要调人事档案吗？,你好，请向人力资源与社会保障局咨询。,民政局,2017/4/20 0:00
我是开发商，有一名客户购买的房产的待售证遗失了，请问会影响到办理产权证吗,2017/4/22 0:00,开发商有一本待售证遗失，银行按揭已经放款了，准备办理产权证，但是那本待售证遗失，会影响到办理客户产权吗？我们需要办理什么手续，需不需要补办,让开发商先申请挂失，挂失完成后就可以办理产权,厦门市不动产登记中心,2017/4/24 0:00
公司名称变更,2017/4/28 0:00,您好，请问我们新购买了一家建筑公司，想套用原来公司的名字，是否可以先注销原来的公司，再把现在的公司变更名称为原来公司？或者是有其他方式？谢谢,1、公司的名称不得转让。2、公司注销后，其他公司三年内不得使用同一名称。留言人所称的股东欲使用子公司的名称在公司登记上无法实现。,市场监督管理局（工商局）,2017/5/2 0:00
非厦门生源本科生就业落户厦门的未成年子女投靠父母落户,2017/5/2 0:00,您好，我是福建医科大学（福州）的本科毕业生，2011年毕业后就业于174医院，落户医院集体户口，2016年3月在思明区买房后将户口迁入房子，我儿子2014年3月出生，请问我这种情况，我儿子要投靠岛内户口需要等双满五年（结婚5年、户口满5年）吗？,你好，请向公安局户籍部门咨询。,民政局,2017/5/2 0:00
组织机构代码年检,2017/5/4 0:00,你好，请问现在组织机构代码是否需要网上年检？为什么登进去年检系统输入手机号码一直收不到短信验证码？,您好！您的申请非我局入驻中心窗口服务事项，请咨询质监部门,市场监督管理局（工商局）,2017/5/4 0:00
