department,submit_t,style,title,content,situation,limit_t,reply_t,reply_c
区城市管理行政执法局,2018-04-12 17:26:07,投诉,思明区万寿铁路小区和万寿新城中间路段下午乱摆摊问题二次投诉,尊敬的区城管执法部门，本人之前反映思明区思明区万寿铁路小区和万寿新城中间路段每天下午四点过后有大量闲散人员乱摆摊卖菜卖东西污染环境、占用道路问题。截止目前情况并没有好转反而更加严重，希望有关部门能进行执法处理，维护周边居民的居住利益。,请核实情况并反馈,2018-04-16,2018-04-16 16:39:36,"您好！针对您所反映的情况，属我区执法局职责范围，经我区执法局工作人员了解，具体情况答复如下：我局梧村中队执法人员已到现场纠正，中队会加强对该处的巡查，一经发现将依法处理。若发现该处有违章行为，可直接拨打我局梧村中队电话5885095反映。如果您还有其他意见或建议，欢迎拨打思明区执法局（电话：5991854）或梧村中队（电话：5885095）,感谢您的建议。"
区市场监督管理局,2018-04-16 21:17:07,投诉,无证照从事食品经营,思明区浪琴苑沙坡尾72号10楼D室租户上次投后，未见整改，仍旧大量进货，在住宅内从事快餐制作外卖等餐饮服务，无证无照，扰民严重，存在食品安全问题，强烈要求相关部门采取措施（不要做表面文章）尽快予以取缔，我一直在跟踪，请及时将受理情况及处理结果反馈给我！,请区市场监督管理局及时与反映人联系，核实处理并反馈处置情况。,2018-04-20,2018-04-19 16:44:34,"您好！针对您所反映的情况，属我区市场监督职责范围，经我区市场监督管理局工作人员了解，具体情况答复如下：我局中华市场监督管理所于4月8日接到相同内容的网格化投诉，中华所工作人员立即前往现场检查，该场所为婚纱摄影提供内部员工餐饮场所，工作人员已责令其尽快关闭。4月12日，社区工作人员前往查看，该场所已大门紧闭，中华所工作人员已将该情况告知投诉人。4月19日，中华所工作人员再次前往现场确认，该场所大门紧闭，中华所工作人员跟物业和一名邻居确认，该场所已于4月12日就已经搬走。如果您还有其他意见或建议，欢迎拨打思明区市场监督管理局（电话：5814390）,感谢您的建议。"
区民政局,2018-04-18 21:38:12,咨询,出具婚姻登记记录证明,出具婚姻登记记录证明需要提供户口本，但如果家人拒绝提供要如何办理,请区民政局予以解答。,2018-04-20,2018-04-20 09:42:28,"您好！针对您所反映的情况，属我区民政局职责范围，经我区民政局工作人员了解，具体情况答复如下：根据《民政部关于进一步规范（无）婚姻登记记录证明的通知》（民函【2015】266号）规定，除涉台和部分国家的公证事项外，各地民政部门不再向任何部门和个人出具（无）婚姻登记记录证明。自2015年9月24日起，思明区婚姻登记处不再出具（无）婚姻登记证明，若是想查阅档案的，带个人身份证即可办理。如果您还有其他意见或建议，欢迎拨打思明区民政局（电话：5862782）,感谢您的建议。"
区市政园林局,2018-04-21 19:37:23,建议,后滨东路断头路何时能打通，出行太不方便了。,市委市政府高度重视提升道路畅通能力，一批“断头路”年内将被打通(日报记者蔡镇金)在年初的政府工作报告中，我市提出开展“交通整治年”活动，推进25项整治任务，提升道路畅通能力。“打通断头路”就是25项任务中的重要一项。记者近日从市政府获悉，该项任务正在有力有序推进，已取得一定进展，年内将率先打通一批“断头路”，进一步完善城市路网。计划用3年打通21条“断头路”因各种原因，当前我市还存在一些“断头路”，给市民出行带来不便。今年以来，市区两级加大排查整治力度。截至3月底，已完成“断头路”排查共计21条，计划用3年时间打通。一批“断头路”被摆上今年打通计划。其中，思明区今年计划打通后江埭路、龙山东二路、后滨东路等三条“断头路”。后江埭路项目已于本月14日打通，目前正在实施道路两侧围墙修复以及道路提升改造工作。龙山东二路项目已进行现场勘察，初步确定按道路现状实施打通工作，已完成地形修测等前期工作，正在加快征拆等各项工作。后滨东路打通工作由市市政开发总公司具体负责，已完成施工图设计，其他工作正在加快推进。看2017年的新闻就说要打通了，2018年还是依旧如此。,请区建设局予以解答。,2018-04-27,2018-04-26 11:58:09,"您好！针对您所反映的情况，属我区市政园林局职责范围，经我区市政110联动工作人员了解，具体情况答复如下：经了解，后滨东路断头路建设主体为厦门市市政开发总公司，且涉及地铁施工，建议转市政开发总公司及轨道集团（市里）协调处理。如果您还有其他意见或建议，欢迎拨打思明区市政园林局（电话：2525110）,感谢您的建议。"
区教育局,2018-04-24 09:53:47,咨询,2018年幼儿园报名时间,您好，请问2018年幼儿园招生文件是否已经出台，报名时间是否确定？如有，请问在哪里可以查看，谢谢,请根据诉求给予答复,2018-05-02,2018-05-02 11:44:23,"您好！针对您所反映的情况，属我区教育局职责范围，经我区教育局工作人员了解，具体情况答复如下：思明区2018年秋季幼儿园招生工作意见还未制定公布。根据去年的工作意见，各幼儿园招生通告于报名前一周（即7月23日）在划定的服务区内张贴，2018年的具体招生日期请以今年的文件规定为准。如果您还有其他意见或建议，欢迎拨打思明区教育局（电话：5862701）,感谢您的建议。"
筼筜党政办,2018-04-24 09:59:54,咨询,湖滨四里,请问湖滨四里是否有纳入2018年的老旧小区改造，谢谢,请根据诉求给予答复,2018-04-26,2018-04-25 15:57:11,"您好！针对您所反映的情况，属我区筼筜街道职责范围，经与我区筼筜街道了解，具体情况答复如下：您好，2018年老旧小区改造没有湖滨四里的项目，详情请咨询四里社区居委会如果您还有其他意见或建议，欢迎拨打思明区筼筜街道（电话：5377200）,感谢您的建议。"
区市场监督管理局,2018-04-24 10:24:29,咨询,企业经营期限到期,你好，我公司的经营日期到2018年4月28日，办理续期除了带营业执照正副本、经办人身份证法人身份证还需要带什么资料,请根据诉求给予答复,2018-04-27,2018-04-27 10:54:33,"您好！针对您所反映的情况，属我区市场监督职责范围，经我区市场监督管理局工作人员了解，具体情况答复如下：您好！我们已电话联系反应人，得知其要办理的企业为厦门市永一峰工贸有限公司，该公司营业期限备案提交材料清单如下：1.《公司登记（备案）申请书》。2.《指定代表或者共同委托代理人授权委托书》。3.关于修改公司章程的股东签署的股东会决议。4.公司章程修正案（公司法定代表人签署）。5.公司营业执照正、副本。注：1.依照《公司法》、《公司登记管理条例》、《厦门经济特区商事登记条例》设立的公司申请备案适用本清单。其中，公司依照《公司法》第一百八十条规定解散、按照《公司登记管理条例》第四十二条规定申请清算组成员备案适用本清单。公司经人民法院裁定进入破产程序的，不适用本清单。2.可登录“厦门市商事主体登记及信用信息公示平台”（www.xiamencredit.gov.cn）→从首页“商事登记”栏目下载或者到商事登记机关领取相关表格，按所附要求填写。3.提交的登记申请文书与申请材料应当使用A4型纸。以上申请材料内容相同的只需提交一份。4.提交材料未注明提交复印件的，应当提交原件；提交复印件的，应当注明“与原件一致”并由申请人签署，或者由其指定的代表或共同委托的代理人加盖公章或签字。5.提交材料涉及签署的，自然人由本人签字，法人和其他组织加盖公章。6.申请材料应用黑色或蓝黑色钢笔、签字笔填写。7.提交材料涉及提交自然人身份证件复印件的，需提交身份证件正反两面的复印件。8.商事主体变更登记和应当备案事项的，应当自变更决议或者决定作出之日起三十日内向商事登记机关申请变更登记或者备案。逾期变更登记和应当备案事项的，商事主体需向商事登记机关出具相应事项继续有效的证明。9.未更换统一社会信用代码的商事主体还应提交税务登记证正、副本及组织机构代码证。（未办理组织机构代码证或税务登记证的，提交申明；组织机构代码证或税务登记证遗失的，提交刊登遗失公告的报纸报样。）10.以上凡是涉及本部门颁发的证照复印件和批文复印件不再要求提交，凡是可通过电子证照库查询共享到的证照，不再要求提交相关纸质证照复印件。上述申请材料由登记机关自行打印并归档。如果您还有其他意见或建议，欢迎拨打思明区市场监督管理局（电话：5814390）,感谢您的建议。"
区人社局,2018-04-26 16:24:57,咨询,离职当月，发现自己怀孕,在4月11号当天想领导口头提离职，自己离职流程还没有提交，劳动合同还没有终止，在4月23号发现自己怀孕了，26号和领导说明情况，表示愿意留下，领导不肯，叫我离职，我该怎么办。,请根据诉求给予答复,2018-04-28,2018-04-27 15:29:19,"您好！针对您所反映的情况，属我区人社局职责范围，经我区人社局工作人员了解，具体情况答复如下：根据《中华人民共和国劳动合同法》第三十七条规定，劳动者提前三十日以书面形式通知用人单位负责人，可以解除劳动全同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。单位负责人要求当事人离职的决定，当事人可以选择接受，也可以选择不接受。在当事人选择不接受后，用人单位如做出有损害当事人权益的行为，违法事实经确认后，当事人可向劳动保障部门投诉。未尽事宜，可电话联系我们：思明区人社局劳动科2667203如果您还有其他意见或建议，欢迎拨打思明区人社局（电话：2667203）,感谢您的建议。"
区教育局,2018-05-02 11:39:58,咨询,2018思明片区小学积分入学之社保缴交事宜,您好！现想咨询下关于2018年思明区小学积分入学社保缴交的问题，本人为主申请方，因工作原因，将于2018年5月离职现单位，医社保缴交至2018年4月。若5月、6月、7月没有续缴，是否还符合积分入学条件，另积分总分是否会受影响，请问入学积分截取社保数据的时间是什么时候？麻烦务必以邮件回复，非常感谢！,请根据诉求给予答复,2018-05-07,2018-05-07 18:29:36,"您好！针对您所反映的情况，属我区教育局职责范围，经我区教育局工作人员了解，具体情况答复如下：根据2018年思明区随迁子女积分入学工作意见，社保截取数据的时间是2018年4月份（派位后再次检查），为了您的孩子能够正常入学，建议您继续缴交社保。如果您还有其他意见或建议，欢迎拨打思明区教育局（电话：5862701）,感谢您的建议。"
区卫生计生局,2018-05-05 16:28:41,咨询,影院卫生许可证,请问影院卫生许可证如何办理？需准备的材料有哪些？到哪去办理？,请去卫计局予以解答。,2018-05-09,2018-05-07 16:31:17,"您好！针对您所反映的情况，属我区卫计局职责范围，经我区卫计局工作人员了解，具体情况答复如下：凡注册资金在1000万元以下且符合以下条件之一的公共场所、新建、扩建、改建建设项目设计卫生审查和竣工验收按本指南进行办理。条件：1、营业面积在1万平方米以上或具备有集中空调通风系统的公共场所。2、涉及住宿、洗浴、美容美发、游泳等多种服务功能的大型公共场所。设计符合卫生要求者可领取《建设项目设计卫生审查认可书》或《建设项目竣工卫生验收认可书》。公共场所预防性卫生审查申请材料一、设计卫生审查1、建设项目设计卫生审查登记表；(1份)2、公共场所地址方位示意图（标明方位、风向、周围环境）；(1份)3、经营场所的总平面布置图和卫生设施平面布局图1份；(1份)4、集中空调通风系统及排气系统布局图；（各1份）5、给排水系统设计图；（各1份）6、卫生学专篇（包括设计依据、主要卫生问题、卫生设施、措施及预期效果）；（1份）以上材料应逐页加盖申请单位公章或法定代表人(负责人)签章。二、竣工卫生验收1、竣工验收申请书1份。(申请卫生许可证时提交）以上材料应逐页加盖申请单位公章或法定代表人((负责人)签章。《卫生许可证》申请材料：1、卫生许可证申请书；（1份）2、营业执照（申请人无须提交，我局通过电子证照共享获取，无营业执照需提供事业单位法定代表人证书）及法定代表人或者负责人身份证原件及复印件；（1份）3、经营场所产权或租赁合同原件及复印件；（1份）4、公共场所卫生管理制度；（1份）5、公共场所地址方位示意图、平面图、卫生设施平面布局图；（1份）6、公共场所卫生检测或者评价报告原件及复印件；（1份）7、委托他人办理的还应提供授权委托书以及代理人的身份证原件及复印件。（1份）注：上述材料应逐页加盖申请单位公章或法人(负责人)签章及注明提交日期，原件核对后退回，制度应在落款处注明单位名称和成文日期。办理地址：思明区行政服务中心区卫生和计划生育局窗口（厦门市思明区前埔东路20号西侧）如果您还有其他意见或建议，欢迎拨打思明区卫计局（电话：5818624）,感谢您的建议。"
