style,section,deliver_t,title,content,reply_c,reply_t
建议,"交通局,规划分局,交通局",2018/1/12 10:22,集美后溪仁德里小区到地铁一号线1号口有一小段路没有人行道,我们是住在集美后溪仁德里小区，经常带小孩子坐地铁，从小区出来的那个红绿灯有大量的车子要直行但是他们为了不等红灯，直接右转再右转冲出来，红绿灯旁边的那个西客明珠安置房正在建，工地门口弄了绿化带，有一段路没有人行道，行人要走到机动车上去，有时带小孩子出门很不方便，希望有关部门落实这个问题，不甚感激。,(规划分局)2018-01-12:你好，我区已成立交通畅通工作领导小组（办公室挂靠在集美区交通局），用于加快交通微循环建设。建议您可向区交通局反映该问题。,2018/1/15 11:03
建议,"规划分局,交通局,公安分局,交通局",2018/1/14 8:39,关于万达旁滨水路集源路交通相关问题,因为万达旁高速涵洞高度较低，导致了滨水路对于公交而言，成了断头路。水上运动中心公交颇为不便。滨水二里居民出行前往就近的地铁站也较为不便。路况问题导致公交难以规划。建议：1.改造万达旁三个高速涵洞高度，适当改造挖深路面至公交可以通行。改变滨水路公交断头问题。并增设万达广场公交站，方便出行。2.万达旁集源路目前为单向车道，目前单向四车道，但平时行车较慢。因为违章停车车辆较多占据车道，且周边各种设施比如共享单车等摆放占据车道，行人不遵守人行道随意穿行道路。是否可以采用车道围栏方式彻底杜绝违章停车，规范各种设施摆放，行人穿行也更为规范安全。另进一步可考虑改造该车道为双向车道方便车辆通行。,(公安分局)2018-01-25:集美分局交警大队（集美中队）反馈：万达集源路为我队重点整治路段，经常性不定时开展违停整治，引导行人根据红绿灯指示文明、安全过马路。,2018/1/25 17:04
建议,"交通局,规划分局,建设局",2018/1/22 9:12,灌口双桥明珠、凤泉小区回家难，道路设置不合理,灌口双桥明珠、凤泉广场片区，居民人多车多。319线从杏林方向回这两个社区家的人，只有两条路，一条是灌口中学旁高架下左转，经过实验小学集美分校，下班回家也正是学校放学时间，那条路又窄，家长接送车辆多，经常要堵上十几分钟才能通过500米的距离；另一条要沿319走到与324国道交叉处红绿灯左转再经过灌口菜市场再左转进入这两个社区，而这一段上下班都非常拥堵，经常从红绿灯处堵上300米等待左转。建议：原灌口工行处打开一个左转缺口（原来有掉头缺口，现在封死了，所以才堵），让车辆可以直接左转进入凤泉中路。最起码可以为这两个社区的居民节省20分钟左右的回家时间。盼为解决，谢谢！,(规划分局)2018-01-26:你好，经核查，集灌路（集美北大道--G324线段）提升改造工程的建设单位为厦门路桥建设集团有限公司，因灌口（工商银行）路段调头区存在安全隐患，已发生多起交通事故。路桥公司应集美区道交办要求将该调头区移至G324国道红绿灯路口，封堵旧调头区。,2018/1/26 8:56
建议,教育局,2018/1/23 9:58,孩子上学的问题,"2012年,我们一家背井离乡,来到厦门集美灌口三社新亭,并在集美区打工,第二个孩子进入三社小学,从一年级一直上到现在的五年级,第三个孩子,因为我暂住证到期,忘记续办,停了一段时间,(但我社保单位一直在给交)没能进入公办学校,国家优惠政策义务九年制,我们就这样错过了吗?孩子一年交学费近一万元,还有第四个孩子,由于那次忘记续办暂住证,积分不多,而送往偏远的顶许学校,午托费每年又要近万元,眼看着我们的生活就是问题,这些费用负不起,孩子将要辍学,建议教育局的领导,考虑考虑我们的实际问题,给我们解决一下吧!",(教育局)2018-01-30:您好！1、根据《厦门市进城务工人员随迁子女小学积分入学办法指导意见》规定，适龄随迁子女参加积分入学的基本条件随迁子女父亲（母亲）在厦门务工、连续暂住和最近参加我市社会保险的年限达1年（含1年）以上。不符合参加集美区积分入学基本条件，无法在集美区参加积分派位入学。根据义务教育法，地方各级人民政府应当保障适龄儿童、少年在户籍所在地学校就近入学。因此，不符合集美区积分入学条件的家长尽早将孩子带回户籍所在地学校就读。2、同一区域内的学校之间原则上不允许转学。如有疑问请拨打6682707咨询。,2018/1/31 10:22
建议,"卫计局,集美城发,建设局",2018/5/30 21:05,关于解决餐厨垃圾的项目建议,"关于解决餐厨垃圾的项目建议尊敬的市领导：餐厨垃圾是餐饮服务、食品加工、单位供餐活动中产生的食品残余和加工废料。餐厨垃圾的危害主要为：污染环境，传播疾病：餐厨垃圾易发生腐烂变质现象，且腐败产生的渗滤水以及恶臭气体，滋生蚊虫，对水、土、气造成恶劣影响，并且易导致疾病的传播。面对日益严峻的餐厨垃圾处理难的问题，本人多年来一直在关注，并尝试探索采用一种生物化、产业化的处理方式，来实现餐厨垃圾的减量化和无害化处理，经过不断的研究、试验、比较，美洲大蠊（一种蟑螂）这种特殊习性的古老昆虫成为了工业化生物处理餐厨垃圾的最佳选择。目前山东已有成功案例，今年两会期间，全国人大代表、人民日报社山东分社社长徐锦庚提交了一份关于破解餐厨垃圾处理难题的建议，介绍了济南市章丘区用美洲大蠊（蟑螂中的一种）处理餐厨垃圾生产蛋白饲料的技术探索。1、美洲大蠊食性杂，取食广，食量大，对餐厨圾中的酸甜苦辣咸，均未有任何排斥现象，整个生命周期，日取食量约为其体重的5%,20吨美洲大蠊可以每日吃掉1吨餐厨垃圾。2、美洲大蠊喜好群居聚集，可采取竖板养殖，这样既节省了养殖空间，又增加了养殖密度。实现了每100平方米的投影面积可饲养20吨美洲大蠊虫体的养殖规模。3、美洲大蠊生命力强，繁殖能力快，有利于项目的快速复制和推广，可以说是世界上生命力最强、最古老、至今繁衍最成功的昆虫类群。该项目通过规模化饲养美洲大蠊，对餐厨垃圾进行生物化处理，实现了餐厨垃圾的减量化、资源化，同时将美洲大蠊（含卵鞘）收集后加工制粉，生产成高品质昆虫蛋白饲料，实现了餐厨垃圾的饲料化应用。饲养过程中产生的粪便可作为农业有机肥料。本项目利用美洲大蠊转化餐厨垃圾，实现餐厨垃圾整个转化过程的无害化、智能化、设施化，促进餐厨垃圾的饲料化、资源化的循环利用。利用美洲大蠊完美进化的生物体，充分吸收餐厨垃圾的营养和能量，完全遵循自然食物链规律。既避免了环境污染，又获取了大量优质蛋白饲料。本项目工艺简单稳定、安全可靠、智能控制、处理成本低、产品附加值高，整个生产过程零排放，不产生二次污染。项目意义：1、有效解决餐厨垃圾处理难的问题，厦门的流动人口数量众多，加上聚餐文化和饮食习惯的影响，每年产生餐厨垃圾可想而知。此项目推广后，随着养殖基地的逐渐增加以及养殖规模的不断扩大，大量的餐厨垃圾会被生物处理掉，实现了餐厨垃圾减量化。2、餐厨垃圾处理过程中，无任何残留，不产生固体废弃物、废液、废气等，对环境不造成二次污染。3、缓解国内动物蛋白饲料严重缺乏的问题国内畜禽养殖业迅猛发展，养殖市场蛋白饲料需求量约3500万吨/年，特别是能促进畜禽繁殖生长的动物蛋白饲料更是缺乏，其80%左右依靠进口。大量进口智利、秘鲁的鱼粉不但减少了外汇储备，且远远不能满足国内市场需求。动物蛋白饲料的短缺严重影响并限制了我国养殖业的发展。该技术完全遵循大自然食物链规律，无人为干预，是优质、安全的蛋白饲料来源。4、缓解兽用抗生素滥用问题由于昆虫蛋白饲料具备免疫特警、免疫清道夫、免疫营养、免疫修复、免疫激活特性，在畜禽日粮中加入一定比例的虫粉可大大增强畜禽的免疫力，预防与治疗禽畜传染病。福建农科院周琼博士发表的文章——美洲大蠊对肉鸡免疫功能与抗氧化能力的影响，添加2%的粉可比抗生素使用组在攻毒试验后减少约7%的死亡率，我们已进行实验验证。用美洲大蠊虫粉来替代兽用抗生素，不仅减少了兽用抗生素使用量，同时为食品安全，人类健康也做出了一定贡献。5、提高畜禽肉类产品的品质。经过实验比对，添加5%虫粉可提高畜禽养殖速度50%以上，并可提高畜禽广品的品质。通过对喂食10%虫粉的鸡肉检测报告显示，鸡肉具有富砸、低脂肪、高蛋白的特点。另外，由于厦门市现有餐厨垃圾末端处置位于厦门最东部，中西部长距离运输不仅增加安全隐患，而且增加了收运成本，同时瑞科技的处理能力未能满足全市处理所需，除此之外，现厦门市无餐厨处置的应急点，如瑞科技厌氧罐发生故障，则后果不堪设想；因此，寻找建立适合当前市情的餐厨垃圾资源化生产工艺，旨在提高全市应急处置能力，同时消除中西部转运过程中的安全隐患，降低收运成本并形成资源再生循环经济圈故此，本人有意为我市解决餐厨垃圾做出积极贡献，但苦于本人对政府审批流程不熟悉，又不知如何面访领导，实在是心有余而力不足，只能借助贵线转交领导，希望领导审阅，可以给本人一个为美丽家园做贡献的机会，谢谢！联系人：杨先生15#######55",(建设局)2018-06-06:您好，您的宝贵意见我局已收到，但是由于我局目前只负责收运垃圾至东部固废处理中心，而该中心由市环卫处直接管理，因此建议您直接向市环卫处垃圾分类科（05922214748）咨询。,2018/6/6 9:13
建议,侨英街道,2017/11/8 16:16,莫兰蒂把大树刮歪倒了。,侨英街道东安社区后垵三里34号旁边有棵自然生长的大树高度约9米，之前被莫兰蒂台风刮歪倒，随时可能倒下砸到旁边的民房和路过的行人，望领导派人前来处理，早日消除危险隐患，让居民安心生活，谢谢。,(侨英街道)2017/11/2215:31:33:社区两委已联系该组的小组长下现场进行查看，发现该榕树位于居民私宅内，该私宅属年旧失修的老房子，现无人居住，已联系该房屋的主人进行回来协商处理该事件。,2017/11/23 15:41
建议,"规划分局,交通局",2017/11/15 8:13,后溪中学（杏南中学后溪校区）增加公交线路,后溪中学，现杏南中学后溪校区，虽然已有公交线路，但线路根本没有经过生源多的后溪镇方向，初中生上下学基本上是骑自行车或家长接送，存在重大安全隐患和通路拥堵，建议增加公交线路或延长线路到孙板北路尽头。都说一切为了孩子，不知道是不是只是说说，别等出事了再找谁的责任。,(交通局)2017/11/2210:52:36:您好，政民互动MD0037520号建议收悉，现回复如下：杏南中学后溪校区现有916、917两条公条线路在此始发，在当前无直达公交线路到达后溪的情况下，可通过一次换乘的方式换乘其它线路出行。我局也会结合我区公交线路整体状况适时对我区公交线网进行逐步完善。,2017/11/22 14:07
建议,交通局,2017/11/20 12:09,关于加快中航城C区及西亭安置房片区周边道路建设及增加公交线路、频次的建议,目前中航城C区及西亭安置房片区虽然有914、915、927三路公交车，从面上来看，应该可以满足居民出行的需求，但是这一片区出行难的问题肯定是存在的。1、三路公交车均为短线路的小巴，片区居民出行基本都要进行二次甚至三次转换乘。2、三路公交车频次偏疏，初步目测其中几条线路都是半个小时一次。公交车换乘和频次稀疏两个问题结合在一起，使得这一片区居民乘坐公交车出行的耗时和复杂程度明显增加。过去的一周时间，我就亲眼目睹了很多古稀老人在公交车站苦苦等候、辛苦询问线路的情景，蹒跚的脚步、风中凌乱的白发的景象与我长期以来形成的厦门美丽、温暖的形象形成了鲜明的对比、极大的反差。习近平总书记多次指出，人民的需求就是政府工作的出发点和落脚点。在此建议相关部门从满足人民出行需求，解决人民生活难题的角度出发，重视解决片区居民出行难的问题：1、增加公交班次。2、加快周边道路建设，尤其是官任地铁站到片区的小区道路。3、如果前述两条难以实现，可以考虑开行片区到地铁站和附近主要公交车站的接驳专线。,(交通局)2017/11/279:25:04:您好，政民互动MD0037548号建议收悉，现回复如下：1、目前途经中航城C区的914、915、927三条公交线路均途经地铁一号线相应站点。由于线路途经的西亭村村道狭窄，致使车辆无法更新为更大型车辆。2、914、915、927三条公交线路共有14部公交运营车辆，现有班次基本满足出行需求。我局也将督促公交公司及时根据客流变化情况增加运营车辆数，加密班次。,2017/11/27 10:30
建议,杏林街道,2017/12/2 9:51,关于禹洲中央海岸垃圾分类,1、杏林宁海其他小区（万科、中海）都已经有分发垃圾分类垃圾桶跟垃圾袋。是否于禹洲小区也分发了？2、禹洲小区内的垃圾桶已经做到垃圾分类。可是经常保洁拉到垃圾堆放点就又重新混合在一起。源头控制了，结果却被重新打乱了。3、小区内经常有外来收垃圾的在垃圾桶乱翻可回收的废纸，金属。小区物业未制止。希望领导给小区物业给予警示,(杏林街道)2017/12/79:23:36:1.因禹州未列入2017年开展垃圾分类的试点小区，所以未分发分类垃圾桶跟垃圾袋，街道下一步将逐步扩大试点范围,2017/12/7 10:52
建议,灌口镇,2017/12/12 14:43,灌口镇顶许村山埔社垃圾堆积如山，恳请相关部门清理！,灌口镇顶许村山埔社109号旁垃圾堆每天只清理非常少一部分垃圾，导致目前垃圾堆积成山，味道非常难闻，已经严重影响市容市貌和群众的健康安全。恳求各位领导帮忙解决这个民生问题。非常感谢！！！,(灌口镇)2017/12/1816:27:20:已通知相关部门负责人处理此事，并于12月18日下午已清理完毕。,2017/12/18 16:55
