lettertype,title,submit_t,content,reply_p,reply_t,reply_c
咨询,老问题,2016/11/23,新圩到后埔路灯，为什么老是坏，现在整条路，多不亮了，台风天后，很多路灯灯头多没有，没有换，路灯倒了，到今天多没有处理，到今天已经不亮快一个月,新圩镇,2016/11/28,经向村主任咨询落实，台风过后，全村路灯已经全部维修完成。
投诉,马巷曾林社区竟然还有大量露天厕所，村干部不理不睬，求助区政府,2016/12/1,厦门市政府【2006】年345号文件早已下发关于全市农村开展家园清洁行动的实施意见，文件要求农村“三改”（改厕、改厨、改圈），对农村水沟进行清淤疏浚，建设乡风文明、村容整洁的新农村。但16年也快过完了，整整十年，公厕是建了不少，但二三十年前的露天厕所竟然还存在，还在被部分人群故意使用，对周边的环境造成很恶劣的影响，臭气难闻，有损厦门美丽乡村建设的招牌，找村干部，就以各种理由推脱，说无法解决。现在向区领导、区相关部门反映，希望能到得到有效的解决，谢谢！,马巷镇,2016/12/21,镇工作人员到社区现场勘察，包村干部和社区干部出面协调中。
投诉,路灯何时亮,2016/12/10,你好，许继西门下庄到山顶头这条路灯从6月份到现在一直都不亮，这是哪个部门在负责的，请答复什么时候可以修好，这边人流量非常大，经常发生一些事故请相关部门帮忙解决感谢,马巷镇,2016/12/13,
咨询,肖*南路跨翔安大道跨线桥规划咨询,2016/12/20,“肖厝南路跨翔安大道上跨桥”最近天天施工很吵，等完工后是不是更吵，可以去看看这个跨线桥这段路怎么规划离阳光城翡丽湾小区二期如此近啊，小区几千户，这么近到时非常吵吧，有没有规划隔音措施，谢谢,规划分局,2016/12/23,根据该片区规划，肖厝南路位于阳光城翡丽湾小区南侧，是片区内主要的交通干道，跨线桥是解决翔安大道东西两侧片区的交通需求，跨线桥两侧均有规划预留绿化作为防护功能。
其他,现在妇检规定比以前不合理,2016/12/27,以前妇检星期六、星期天有值班。现在要求一段时间要过去见面，但必须上班时间去。我们工作都很忙，请假要扣工资。政府部门应该考虑实际情况，不能增加居民烦恼。是否没时间去可以不去，或者政府部门放假时间和以前一样安排值班。,卫计局,2016/12/27,
投诉,翔安公交公司违反省计生条例(请转卫计局查处）,2017/1/9,翔安公交公司规定单位女员工合法生育第一胎产假158天，合法生育第二胎产假只有98天，严重违反省计生条例有关规定和国家全面实施二孩政策，请转翔安计生部门调查处理。,人社局,2017/1/23,
咨询,申请宅基地,2017/1/18,本人是翔安农村户口，现刚结婚，想申请老宅翻建（老宅面积较大，且家里有两个兄弟，因此，想由原来一个户口拆成两个户口翻建）1.请问需要如何办理？2.要提供哪些材料？,国土分局,2017/1/20,
投诉,建房申请,2017/2/3,本人翔安马巷黎安村山前1队人。背井离乡打工20多年，一家三代四人蜗居于海沧60多平的商品房里，母亲年迈一眼失明，我自己也落下浑身伤病，城市生活不易，想趁在生之年回家盖个房子，让家人能在未来有个像样的房子住落叶归根。于两年前向村里递交了建房申请，至今没有下文！恳请政府实际了解情况给予方便解决。谢谢！,马巷镇,2017/2/6,
其他,请回复马巷的2016年个人建房建设用地报批清单问题,2017/2/15,反映内容:你好，你们问题的编码：Q2##########26这样回复的马巷镇2016年度农村个人建设建设用地已经办理6批次共283宗，每批次都通过相关社区公开栏、镇级短信平台和区政府网站公开。其申请流程是:详见2018年9月23日区政府办《关于启用农村村民住宅用地建设审批格式文书的通知》。我想了解名单内容，在区政府网站上都没有看到，网址请直接给出来【请具体到】，或者283宗的名单请直接给出来，谢谢答复意见:根据农村建设用地，每批次都通过相关社区公开栏，镇级短信平台和区政府网站公开(请反映人仔细关注区政府网站）。根据上述的答复意见，就是没有找到区政府的2016年马巷农村建设用地报批清单公示清单（请看附件，就是没有看到公示中有相关信息），所以烦请请回复下面几个问题，请提供有效信息，如果不是走投无路何必连续投诉这么多遍。1.请给出具体公示的2016年马巷农村建设用地报批清单公示的网址，请具体到公示页面2.请答复：申请自建房到结束需要多少个工作日，3.如何查询申请进度4.请给出马巷申请农村建设用地的查询的相关地址及电话5.社区申请是否有相关指标，找哪个部门查询,马巷镇,2017/3/2,1.公示网络登陆翔安区政府网站查询，2.申请新建房同时涉及多个职能部门，且明确规定工作时限，3.查询申请进度可向建设办或社区土管员咨询，4.农村建设用地查询请直接向国土部门咨询，5.社区建房申请无指标。
咨询,急急请问户口大帽山农场中心的，申请保障性商品房要向哪个居委会呢,2017/3/1,请问户口大帽山农场中心的，申请保障性商品房要向哪个居委会呢，大帽山是国营农场,新圩镇,2017/3/2,2017年3月2日下午15：30分，镇信访办工作人员与信访人电话联系，告知其申请保障性商品房的时间和地点目前还未确定，让其关注新闻或可向大帽山农场咨询，其对我们的工作表示满意。
投诉,郑坂村郑进步家族违法抢建超过5万平方,2017/3/9,位于厦门市翔安区马巷镇郑坂村农林水利局斜后面，郑进步（村委书记郑英雄的亲戚）又开始抢建，违法占地面积高达300平方米，而在这之前郑进步家族已经在郑坂村违建，抢建，偷建面积高达5万平方米，而如今多次投诉，不仅没有真正停止抢建，违建，而是肆无忌惮的占用村道，把村民过往巷子堵住，恳求各相关部门再次制止，不要让其如此放肆,执法局,2017/3/24,2017年3月24日翔安区城市管理行政执法局反馈：经查，该案件属有取得审批手续超面积建设，违建当事人系马巷镇郑坂村村民郑进步。2017年2月20日，我局执法人员接举报后至马巷镇郑坂村现场查处时，发现当事人正在进行住宅建设，当时现状：正在进行地基建设，占地面积208.32平方米。经进一步调查，当事人于2016年10月31日取得厦门市翔安区马巷镇人民政府批准的翻修手续：《厦门市翔安区村镇个人住宅建设许可证》（马建村许[2016]372号），批准用地面积204.23平方米，建筑层数贰层，建筑面积332.47平方米。经现场勘验，实际占地面积超出审批4.09平方米，属超面积建设。执法人员依法送达《责令停止违法建设通知书》（NO:0026381）、《责令改正违法行为通知书》（NO:0014598），责令当事人停止违法建设行为，并自行整改。此后，执法人员多次前往现场，责令当事人严格按照审批手续进行建设。目前，该处建筑第一层正钉模板，占地及建筑面积均为208.32平方米。我局将对这一案件加强监控力度。
